2375,1982,4,3,63,1,22,0,1,155
2582,0,1846,63,0,221,22,0,2,154
2716,256,1972,63,48,190,22,0,0,132
3085,4,1924,51,3,40,22,0,0,191
1887,2047,0,0,63,58,22,0,0,156
1574,2047,4,3,63,113,22,0,0,155
2124,1972,0,3,63,4,22,0,0,151
2328,2046,0,0,63,255,22,0,0,138
2002,0,1982,63,0,4,22,0,0,182
2961,0,1972,63,0,85,22,0,0,133
1562,1983,262,51,63,143,22,0,0,133
3280,0,1974,63,0,76,22,0,0,122
3995,0,1796,59,0,3,22,0,0,138
2452,1956,6,3,63,120,22,0,0,123
1728,2047,256,48,63,27,22,0,0,182
3122,0,1540,19,0,101,22,0,0,121
3318,0,1312,60,0,252,22,0,0,121
3798,1543,0,0,3,4,22,0,2,123
2820,4,1572,63,3,168,22,0,1,133
2234,1974,0,0,63,112,22,0,0,184
2284,1974,0,0,63,208,22,0,0,112
2019,1974,0,2,63,49,22,0,0,111
2754,1852,256,48,63,4,22,0,0,191
2742,1958,0,0,63,4,22,0,0,132
2986,0,1956,63,0,79,22,0,0,132
2430,1974,0,0,63,5,22,0,0,153
1499,2046,0,0,63,108,22,0,0,191
2116,0,1846,63,0,111,22,0,0,192
2201,2047,0,0,63,9,22,0,0,138
3388,4,1796,63,51,80,22,0,0,155
2420,1983,0,0,63,2,22,0,1,133
1707,384,1983,63,48,6,22,0,0,188
1749,2047,4,3,63,4,22,0,0,155
3429,0,1824,60,0,138,22,0,0,191
1953,1974,0,0,63,47,22,0,0,155
2033,0,1982,63,0,208,22,0,2,132
1745,2047,0,0,63,12,22,0,0,133
3174,1958,0,0,63,68,22,0,0,132
2886,4,1956,63,3,115,22,0,0,132
3291,4,1024,0,3,85,22,0,0,132
2946,0,1958,63,0,268,22,0,0,138
2461,1846,0,0,63,74,22,0,0,133
2798,1982,256,48,63,102,22,0,0,191
1934,0,2046,63,0,95,22,0,0,121
4348,263,0,0,51,210,22,0,0,121
3098,1796,260,51,63,228,22,0,0,112
2599,0,1982,63,0,274,22,0,1,121
1568,2032,0,0,62,21,22,0,0,123
2872,1982,6,3,63,76,22,0,0,123
2424,1852,0,0,63,252,22,0,0,132
2248,4,2039,63,3,110,22,0,0,122
3454,0,1824,60,0,106,22,0,0,133
3355,6,1572,15,3,17,22,0,0,121
1741,4,1983,63,3,72,22,0,0,133
2723,1824,0,0,61,245,22,0,2,132
2162,2038,0,0,63,206,22,0,0,133
3514,0,454,51,3,5,22,0,0,133
1848,0,2046,63,0,82,22,0,0,133
2983,0,1830,63,0,44,22,0,0,156
3296,0,1828,63,0,19,22,0,0,151
2906,0,1974,63,0,22,22,0,0,156
2200,1974,256,51,63,0,22,0,0,133
2272,1983,0,16,63,56,22,0,0,138
2641,0,1972,63,0,18,22,0,0,132
2296,2038,6,3,63,183,22,0,0,121
2053,1974,6,3,63,5,22,0,0,132
3145,1830,0,0,63,95,22,0,0,122
2187,2036,0,0,63,4,22,0,0,138
1650,2047,256,48,63,0,22,0,0,132
2850,1854,0,0,63,43,22,0,0,133
2233,1974,0,0,63,100,22,0,0,138
1783,0,1846,63,0,14,22,0,0,138
3096,1830,0,3,63,0,22,1,0,133
2946,0,1958,63,0,0,22,0,0,132
2961,1828,0,0,63,2,22,0,0,204
2791,0,1796,63,0,179,22,0,0,132
2251,1972,256,48,63,19,22,0,0,132
2218,1972,4,3,63,190,22,0,0,132
3808,0,1990,59,0,110,22,1,1,121
2240,1974,256,48,63,110,22,0,0,132
4208,1924,0,0,59,135,22,0,0,122
2616,1974,0,0,63,109,22,0,0,133
2190,0,1958,63,0,159,22,0,0,133
2306,0,1990,51,0,0,22,0,0,123
1953,1980,448,48,63,149,22,0,0,138
3191,1792,390,51,63,61,22,0,0,112
1458,2047,0,0,63,76,22,0,0,123
2159,1584,0,0,63,102,22,0,0,123
3454,1828,0,0,63,137,22,0,0,123
3183,0,1830,63,0,189,22,0,0,132
2669,0,1846,63,0,16,22,0,0,121
2810,0,1974,63,0,26,22,0,0,123
2295,256,1588,63,48,55,22,2,14,133
2587,0,1972,63,0,153,22,0,0,154
2436,0,1846,63,0,51,22,0,0,132
1756,4,1974,63,3,96,22,0,0,133
2126,2046,0,0,63,3,22,0,0,156
2837,2039,0,0,63,77,22,0,0,132
1667,0,1975,63,32,220,22,0,0,138
1451,2047,0,0,63,160,22,0,0,132
2384,0,1828,63,0,143,22,1,0,132
2070,0,1974,63,0,79,22,0,0,156
2350,1974,7,3,63,5,22,0,0,138
3830,4,6,3,51,108,22,0,0,192
2306,0,2047,63,0,37,22,0,0,133
1532,1983,4,3,63,256,22,0,0,204
2759,1958,0,0,63,79,22,0,0,121
2596,7,1824,61,3,5,22,0,0,154
2364,6,1844,63,3,62,22,0,0,133
1816,2047,0,0,63,38,22,0,0,153
2040,256,1846,63,48,5,22,3,1,132
3783,384,1572,15,48,111,22,0,0,132
2909,1796,0,0,63,96,22,0,0,204
